id,name,type,attribute,level,guardian_star_1,guardian_star_2,attack,defense,password,starchip_cost
680,Curse of Tri-Horned Dragon,Ritual,,0,,,0,0,79699070,50
681,House of Adhesive Tape,Trap,,0,,,0,0,15083728,999999
682,Eatgaboon,Trap,,0,,,0,0,42578427,999999
683,Bear Trap,Trap,,0,,,0,0,78977532,999999
684,Invisible Wire,Trap,,0,,,0,0,15361130,999999
685,Acid Trap Hole,Trap,,0,,,0,0,41356845,999999
686,Widespread Ruin,Trap,,0,,,0,0,77754944,999999
687,Goblin Fan,Trap,,0,,,0,0,04149689,999999
688,Bad Reaction to Simochi,Trap,,0,,,0,0,40633297,999999
689,Reverse Trap,Trap,,0,,,0,0,77622396,999999
690,Fake Trap,Trap,,0,,,0,0,03027001,999999
691,Revived of Serpent Night Dragon,Ritual,,0,,,0,0,39411600,50
692,Turtle Oath,Ritual,,0,,,0,0,76806714,100
693,Contruct of Mask,Ritual,,0,,,0,0,02304453,100
694,Resurrection of Chakra,Ritual,,0,,,0,0,39399168,100
695,Puppet Ritual,Ritual,,0,,,0,0,05783166,50
696,Javelin Beetle Pact,Ritual,,0,,,0,0,41182875,999999
697,Garma Sword Oath,Ritual,,0,,,0,0,78577570,50
698,Cosmo Queen's Prayer,Ritual,,0,,,0,0,04561679,50
699,Revival of Skeleton Rider,Ritual,,0,,,0,0,31066283,10
700,Fortress Whale's Oath,Ritual,,0,,,0,0,77454922,10
701,Performance of Sword,Warrior,Earth,6,Sun,Saturn,1950,1850,N/A,N/A
702,Hungry Burger,Warrior,Dark,6,Moon,Mars,2000,1850,N/A,N/A
703,Sengenjin,Beast-Warrior,Earth,8,Jupiter,Mercury,2750,2500,N/A,N/A
704,Skull Guardian,Warrior,Light,7,Sun,Jupiter,2050,2500,N/A,N/A
705,Tri-horned Dragon,Dragon,Dark,8,Moon,Jupiter,2850,2350,N/A,N/A
706,Serpent Night Dragon,Dragon,Dark,7,Mercury,Pluto,2350,2400,N/A,N/A
707,Skull Knight,Spellcaster,Dark,7,Mercury,Neptune,2650,2250,02504891,999999
708,Cosmo Queen,Spellcaster,Dark,8,Venus,Uranus,2900,2450,N/A,N/A
709,Chakra,Fiend,Dark,7,Mercury,Moon,2450,2000,N/A,N/A
710,Crab Turtle,Aqua,Water,8,Neptune,Jupiter,2550,2500,N/A,N/A
711,Mikazukinoyaiba,Dragon,Dark,7,Sun,Uranus,2200,2350,38277918,999999
712,Meteor Dragon,Dragon,Earth,6,Uranus,Neptune,1800,2000,64271667,999999
713,Meteor B. Dragon,Dragon,Fire,8,Mars,Sun,3500,2000,N/A,N/A
714,Firewing Pegasus,Beast,Fire,6,Mars,Moon,2250,1800,27054370,999999
715,Psycho-Puppet,Fiend,Dark,7,Moon,Saturn,2000,2350,N/A,N/A
716,Garma Sword,Warrior,Dark,7,Moon,Uranus,2550,2150,N/A,N/A
717,Javelin Beetle,Insect,Earth,8,Jupiter,Uranus,2450,2550,N/A,N/A
718,Fortress Whale,Fish,Water,7,Neptune,Saturn,2350,2150,N/A,N/A
719,Dokurorider,Zombie,Dark,6,Uranus,Mars,1900,1850,N/A,N/A
720,Mask of Shine & Dark,Spellcaster,Dark,6,Venus,Pluto,2000,1800,N/A,N/A
721,Dark Magic Ritual,Ritual,,0,,,0,0,N/A,N/A
722,Magician of Black Chaos,Spellcaster,Dark,8,Mercury,Mars,2800,2600,N/A,N/A
